Temp Sensor 1,Soil Moisture 1,Soil Moisture 2,Timestamp
21.8,56.5,56.6,1717351979277
21.8,56.5,56.6,1717351982277
21.8,56.5,56.5,1717351985276
21.8,56.5,56.5,1717351988276
21.8,56.3,56.6,1717351991276
21.8,56.3,56.6,1717351994172
21.7,56.3,56.5,1717351997275
21.7,56.3,56.5,1717352000277
21.8,56.5,56.5,1717352003276
21.8,56.5,56.5,1717352006276
21.8,56.3,56.6,1717352009276
21.8,56.5,56.5,1717352012636
21.8,56.5,56.5,1717352015532
21.8,56.4,56.6,1717352018637
21.8,56.4,56.6,1717352021637
21.8,56.4,56.6,1717352024636
21.8,56.4,56.6,1717352027637
21.8,56.4,56.5,1717352030637
21.8,56.4,56.5,1717352033637
21.8,56.4,56.5,1717352036533
21.8,56.4,56.5,1717352039637
21.8,56.3,56.5,1717352042637
21.8,56.3,56.5,1717352045637
21.8,56.6,56.5,1717352048641
21.8,56.6,56.5,1717352051638
21.7,56.5,56.6,1717352054637
21.8,56.5,56.5,1717352057997
21.8,56.5,56.5,1717352060997
21.8,56.5,56.6,1717352063998
21.8,56.5,56.6,1717352066893
21.8,56.6,56.6,1717352069998
21.8,56.6,56.6,1717352072998
21.8,56.3,56.6,1717352076058
21.8,56.3,56.6,1717352078998
21.7,56.3,56.6,1717352081998
21.7,56.3,56.6,1717352084998
21.8,56.6,56.6,1717352087997
21.8,56.6,56.6,1717352090997
21.7,56.5,56.6,1717352093997
21.7,56.5,56.6,1717352096997
21.8,56.5,56.6,1717352099998
21.8,56.5,56.6,1717352103358
21.8,56.5,56.6,1717352106358
21.7,56.6,56.6,1717352109357
21.7,56.6,56.6,1717352112358
21.7,56.6,56.7,1717352115358
21.7,56.6,56.7,1717352118358
21.7,56.6,56.6,1717352121358
21.7,56.6,56.6,1717352124358
21.7,56.6,56.6,1717352127360
21.7,56.6,56.6,1717352130358
21.7,56.6,56.6,1717352133358
21.7,56.6,56.6,1717352136360
21.7,56.6,56.6,1717352139358
21.7,56.6,56.6,1717352142358
21.7,56.5,56.6,1717352145358
21.7,56.6,56.6,1717352148719
21.7,56.6,56.6,1717352151718
21.8,56.6,56.6,1717352154718
21.8,56.6,56.6,1717352157719
21.7,56.4,56.7,1717352160719
21.7,56.4,56.7,1717352163719
21.7,56.5,56.5,1717352166719
21.7,56.5,56.5,1717352169719
21.7,56.6,56.7,1717352172719
21.7,56.6,56.7,1717352175719
21.7,56.6,56.8,1717352178719
21.7,56.6,56.8,1717352181719
21.7,57.1,63.5,1717352184719
21.7,57.1,63.5,1717352187719
21.7,65.4,64.4,1717352190615
22.8,70.3,66,1717352194079
22.8,70.3,66,1717352197079
25.6,71.6,72.1,1717352200080
25.6,71.6,72.1,1717352203079
26.9,71.5,74.4,1717352206079
26.9,71.5,74.4,1717352209079
27.8,71.3,75.1,1717352212079
27.8,71.3,75.1,1717352215080
28.1,70.7,73.3,1717352218139
28.1,70.7,73.3,1717352221035
28.3,70.1,73,1717352224139
28.3,70.1,73,1717352227139
28.4,69.6,72.4,1717352230140
28.4,69.6,72.4,1717352233140
28.4,69.1,72.3,1717352236139
28.3,68.7,72.2,1717352239439
28.3,68.7,72.2,1717352242440
28.3,68.4,72.1,1717352245439
28.3,68.4,72.1,1717352248440
28.3,67.8,72.2,1717352251335
28.3,67.8,72.2,1717352254440
28.3,67.6,71.8,1717352257439
28.3,67.6,71.8,1717352260440
28.3,67.3,71.8,1717352263500
28.3,67.3,71.8,1717352266500
28.3,67,71.5,1717352269500
28.3,67,71.5,1717352272500
28.3,66.8,71.5,1717352275500
28.3,66.8,71.5,1717352278500
28.3,66.5,71.2,1717352281395
28.3,66.5,71.1,1717352284800
28.3,66.5,71.1,1717352287800
28.4,66.2,71,1717352290800
28.4,66.2,71,1717352293800
28.3,66.1,70.9,1717352296800
28.3,66.1,70.9,1717352299800
28.4,65.9,70.7,1717352302800
28.4,65.9,70.7,1717352305800
28.4,65.8,70.7,1717352308861
28.4,65.8,70.7,1717352311756
28.4,65.7,70.7,1717352314860
28.4,65.7,70.7,1717352317861
28.4,65.6,70.7,1717352320860
28.4,65.6,70.7,1717352323860
28.4,65.3,70.7,1717352326861
28.4,65.3,70.5,1717352330161
28.4,65.3,70.5,1717352333161
28.4,65.2,70.3,1717352336162
28.4,65.2,70.3,1717352339160
28.4,65.1,70.3,1717352342161
28.4,65.1,70.3,1717352345161
28.4,65,70.2,1717352348161
28.4,65,70.2,1717352351057
28.4,64.8,70.3,1717352354221
28.4,64.8,70.3,1717352357221
28.4,64.9,70.3,1717352360221
28.4,64.9,70.3,1717352363221
28.4,64.6,70.1,1717352366221
28.4,64.6,70.1,1717352369222
28.4,64.7,70,1717352372222
28.3,64.5,69.9,1717352375523
28.3,64.5,69.9,1717352378522
28.3,64.5,69.9,1717352381523
28.3,64.5,69.9,1717352384522
28.4,64.5,69.9,1717352387521
28.4,64.5,69.9,1717352390521
28.3,64.4,69.9,1717352393522
28.3,64.4,69.9,1717352396522
28.3,64.4,69.9,1717352399583
28.3,64.4,69.9,1717352402582
28.3,64.2,69.9,1717352405477
28.3,64.2,69.9,1717352408583
28.3,64.2,69.7,1717352411582
28.3,64.2,69.7,1717352414583
28.3,64.2,69.6,1717352417582
28.3,64.2,69.8,1717352420882
28.3,64.2,69.8,1717352423882
28.3,64.1,69.6,1717352426882
28.3,64.1,69.6,1717352429882
28.3,64,69.7,1717352432883
28.3,64,69.7,1717352435777
28.3,64.1,69.5,1717352438882
28.3,64.1,69.5,1717352441882
28.3,64.1,69.5,1717352444943
28.3,64.1,69.5,1717352447942
28.3,64.1,69.6,1717352450942
28.3,64.1,69.6,1717352453943
28.3,63.9,69.1,1717352456942
28.3,63.9,69.1,1717352459942
28.3,63.9,69.4,1717352462943
28.3,64,69.4,1717352466138
28.3,64,69.4,1717352469243
28.3,63.9,69.4,1717352472242
28.3,63.9,69.4,1717352475242
28.2,63.7,69.3,1717352478243
28.2,63.7,69.3,1717352481243
28.3,63.8,69.2,1717352484243
28.3,63.8,69.2,1717352487243
28.2,63.7,69.3,1717352490303
28.2,63.7,69.3,1717352493303
28.2,63.9,69.2,1717352496199
28.2,63.9,69.2,1717352499303
28.2,63.7,69.3,1717352502303
28.2,63.7,69.3,1717352505303
28.2,63.7,69.1,1717352508303
28.2,63.7,69.1,1717352511603
28.2,63.7,69.1,1717352514603
28.2,63.7,69.1,1717352517605
28.2,63.7,69.1,1717352520603
28.2,63.6,69.1,1717352523604
28.2,63.6,69.1,1717352526499
28.2,63.7,69.1,1717352529603
28.2,63.7,69.1,1717352532605
28.1,63.6,69.1,1717352535664
28.1,63.6,69.1,1717352538664
28.1,63.7,69,1717352541663
28.1,63.7,69,1717352544665
28.1,63.6,69,1717352547663
28.1,63.6,69,1717352550664
28.1,63.6,69,1717352553665
28.1,63.7,69,1717352557039
28.1,63.7,69,1717352559964
28.1,63.7,69,1717352562964
28.1,63.7,69,1717352565964
28.1,63.6,69,1717352568964
28.1,63.6,69,1717352571965
28.1,63.7,69,1717352574966
28.1,63.7,69,1717352577964
28.1,63.5,68.9,1717352581025
28.1,63.5,68.9,1717352584025
28.1,63.7,68.9,1717352587026
28.1,63.7,68.9,1717352590026
28.1,63.5,68.8,1717352593024
28.1,63.5,68.8,1717352596025
28.1,63.6,68.9,1717352599024
28.1,63.5,68.9,1717352602326
28.1,63.5,68.9,1717352605325
28.1,63.7,68.8,1717352608325
28.1,63.7,68.8,1717352611325
28.1,63.6,68.8,1717352614325
28.1,63.6,68.8,1717352617324
28.1,63.5,68.8,1717352620325
28.1,63.5,68.8,1717352623325
28.1,63.7,68.7,1717352626386
28.1,63.7,68.7,1717352629385
28,63.6,68.7,1717352632385
28,63.6,68.7,1717352635385
28,63.5,68.8,1717352638386
28,63.5,68.8,1717352641385
28,63.6,68.7,1717352644383
28,63.6,68.8,1717352647685
28,63.6,68.8,1717352650581
28,63.7,68.7,1717352653685
28,63.7,68.7,1717352656685
28,63.5,68.6,1717352659685
28,63.5,68.6,1717352662685
28,63.6,68.7,1717352665685
28,63.6,68.7,1717352668686
28,63.6,68.6,1717352671746
28,63.6,68.6,1717352674745
27.9,63.4,68.7,1717352677746
27.9,63.4,68.7,1717352680642
28,63.4,68.6,1717352683745
28,63.4,68.6,1717352686744
28,63.5,68.6,1717352689745
27.9,63.4,68.6,1717352693045
27.9,63.4,68.6,1717352696044
27.9,63.4,68.5,1717352699045
27.9,63.4,68.5,1717352702045
27.9,63.5,68.5,1717352705045
27.9,63.5,68.5,1717352708047
27.9,63.5,68.6,1717352710941
27.9,63.5,68.6,1717352714045
27.9,63.4,68.6,1717352717106
27.9,63.4,68.6,1717352720105
27.9,63.5,68.6,1717352723105
27.9,63.5,68.6,1717352726107
27.9,63.5,68.4,1717352729106
27.9,63.5,68.4,1717352732106
27.9,63.5,68.5,1717352735106
27.9,63.4,68.4,1717352738406
27.9,63.4,68.4,1717352741301
27.9,63.4,68.4,1717352744405
27.9,63.4,68.4,1717352747406
27.9,63.4,68.4,1717352750407
27.9,63.4,68.4,1717352753408
27.9,63.3,68.4,1717352756406
27.9,63.3,68.4,1717352759407
27.9,63.4,68.4,1717352762468
27.9,63.4,68.4,1717352765467
27.9,63.4,68.4,1717352768469
27.9,63.4,68.4,1717352771362
27.9,63.4,68.4,1717352774468
27.9,63.4,68.4,1717352777468
27.9,63.5,68.4,1717352780468
27.9,63.6,68.4,1717352783767
27.9,63.6,68.4,1717352786768
27.9,63.5,68.4,1717352789768
27.9,63.5,68.4,1717352792769
27.8,63.3,68.3,1717352795767
27.8,63.3,68.3,1717352798767
27.9,63.5,68.4,1717352801769
27.9,63.5,68.4,1717352804768
27.8,63.5,68.4,1717352807827
27.8,63.5,68.4,1717352810828
27.8,63.3,68.3,1717352813827
27.8,63.3,68.3,1717352816828
27.8,63.5,68.3,1717352819827
27.8,63.5,68.3,1717352822826
27.8,63.3,68.3,1717352825827
27.8,63.3,68.2,1717352829127
27.8,63.3,68.2,1717352832128
27.8,63.3,68.2,1717352835128
27.8,63.3,68.2,1717352838189
27.8,63.4,68.3,1717352841127
27.8,63.4,68.3,1717352844126
27.8,63.4,68.2,1717352847127
27.8,63.4,68.2,1717352850128
27.8,63.2,68.2,1717352853187
27.8,63.2,68.2,1717352856188
27.8,63.5,68.2,1717352859191
27.8,63.5,68.2,1717352862187
27.8,63.4,68.2,1717352865149
27.8,63.4,68.2,1717352868188
27.8,63.2,68.4,1717352871189
27.8,63.3,68.1,1717352874488
27.8,63.3,68.1,1717352877488
27.8,63.4,68.1,1717352880490
27.8,63.4,68.1,1717352883489
27.8,63.3,68.1,1717352886490
27.8,63.3,68.1,1717352889488
27.8,63.3,68.2,1717352892490
27.8,63.3,68.2,1717352895384
27.8,63.3,68,1717352898489
27.8,63.3,68,1717352901550
27.8,63.3,68.1,1717352904550
27.8,63.3,68.1,1717352907549
27.8,63.4,68.1,1717352910548
27.8,63.4,68.1,1717352913549
27.8,63.3,68.1,1717352916548
27.7,63.4,68,1717352919851
27.7,63.4,68,1717352922850
27.7,63.4,68.1,1717352925744
27.7,63.4,68.1,1717352928848
27.8,63.5,68,1717352931849
27.8,63.5,68,1717352934849
27.7,63.4,68.1,1717352937849
27.7,63.4,68.1,1717352940849
27.7,63.3,67.9,1717352943909
27.7,63.3,67.9,1717352946908
27.7,63.4,68,1717352949909
27.7,63.4,68,1717352952927
27.7,63.3,68,1717352955805
27.7,63.3,68,1717352958908
27.7,63.3,68.1,1717352961910
27.7,63.1,68,1717352965209
27.7,63.1,68,1717352968209
27.7,63.3,68,1717352971209
27.7,63.3,68,1717352974209
27.7,63.4,68,1717352977209
27.7,63.4,68,1717352980209
27.7,63.3,68.1,1717352983209
27.7,63.3,68.1,1717352986105
27.6,63.3,67.9,1717352989209
27.6,63.3,67.9,1717352992269
27.7,63.3,68,1717352995270
27.7,63.3,68,1717352998271
27.7,63.4,68,1717353001270
27.7,63.4,68,1717353004268
27.7,63.3,68,1717353007270
27.6,63,68,1717353010570
27.6,63,68,1717353013571
27.6,63.4,67.9,1717353016465
27.6,63.4,67.9,1717353019570
27.6,63.2,68,1717353022570
27.6,63.2,68,1717353025571
27.6,63.3,67.9,1717353028571
27.6,63.3,67.9,1717353031571
27.6,63.2,67.9,1717353034569
27.6,63.2,67.9,1717353037630
27.6,63.4,68,1717353040629
27.6,63.4,68,1717353043631
27.6,63.2,67.9,1717353046630
27.6,63.2,67.9,1717353049630
27.6,63.3,67.9,1717353052630
27.6,63.3,67.9,1717353055931
27.6,63.3,67.9,1717353058931
27.6,63.2,67.9,1717353061932
27.6,63.2,67.9,1717353064932
27.6,63.3,67.8,1717353067930
27.6,63.3,67.8,1717353070932
27.6,63.3,68,1717353073930
27.6,63.3,68,1717353076930
27.6,63.2,68,1717353079993
27.6,63.2,68,1717353082992
27.6,63.2,67.9,1717353085992
27.6,63.2,67.9,1717353088992
27.6,63.1,68,1717353091991
27.6,63.1,68,1717353094991
27.6,63.2,67.9,1717353097990
27.6,63.2,67.8,1717353101292
27.6,63.2,67.8,1717353104290
27.6,63.2,67.8,1717353107290
27.6,63.2,67.8,1717353110387
27.6,63.3,67.8,1717353113291
27.6,63.3,67.8,1717353116292
27.6,63.2,68,1717353119292
27.6,63.2,68,1717353122292
27.6,63.1,67.9,1717353125294
27.6,63.1,67.9,1717353128353
27.6,63.2,67.9,1717353131352
27.6,63.2,67.9,1717353134351
27.6,63.2,67.9,1717353137352
27.6,63.2,67.9,1717353140247
27.6,63.2,67.8,1717353143352
27.6,63.2,67.8,1717353146652
27.6,63.2,67.8,1717353149652
27.6,63.1,67.9,1717353152652
27.6,63.1,67.9,1717353155652
27.6,63.2,67.9,1717353158652
27.6,63.2,67.9,1717353161652
27.6,63.1,67.9,1717353164653
27.6,63.1,67.9,1717353167652
27.5,63.1,68,1717353170547
27.5,63.1,68,1717353173712
27.5,63.1,67.9,1717353176712
27.5,63.1,67.9,1717353179713
27.5,63.1,67.8,1717353182712
27.5,63.1,67.8,1717353185712
27.5,63,67.8,1717353188712
27.5,63.1,67.8,1717353192013
27.5,63.1,67.8,1717353195013
27.5,63.2,67.8,1717353198012
27.5,63.2,67.8,1717353200908
27.5,63.2,67.8,1717353204014
27.5,63.2,67.8,1717353207013
27.5,63,67.9,1717353210012
27.5,63,67.9,1717353213012
27.5,63.1,67.9,1717353216013
27.5,63.1,67.9,1717353219073
27.5,63.2,67.9,1717353222074
27.5,63.2,67.9,1717353225073
27.5,63.1,67.8,1717353228073
27.5,63.1,67.8,1717353230968
27.5,63,67.8,1717353234073
27.5,63.1,67.8,1717353237432
27.5,63.1,67.8,1717353240373
27.5,63.2,67.8,1717353243373
27.5,63.2,67.8,1717353246373
27.5,63,67.8,1717353249373
27.5,63,67.8,1717353252373
27.4,63,67.8,1717353255373
27.4,63,67.8,1717353258374
27.4,63,67.7,1717353261373
27.4,63,67.7,1717353264433
27.4,63.2,67.8,1717353267434
27.4,63.2,67.8,1717353270432
27.4,63,67.7,1717353273433
27.4,63,67.7,1717353276434
27.4,63,67.9,1717353279433
27.4,63,67.8,1717353282732
27.4,63,67.8,1717353285733
27.4,63.1,67.9,1717353288734
27.4,63.1,67.9,1717353291733
27.4,63,67.7,1717353294733
27.4,63,67.7,1717353297733
27.4,62.9,67.7,1717353300733
27.4,62.9,67.7,1717353303734
27.4,62.9,67.7,1717353306734
27.4,62.9,67.7,1717353309794
27.4,62.9,67.7,1717353312793
27.4,62.9,67.7,1717353315794
27.4,63.1,67.8,1717353318794
27.4,63.1,67.8,1717353321794
27.4,62.9,67.8,1717353324821
27.4,62.9,67.8,1717353328094
27.4,62.9,67.8,1717353331094
27.4,63,67.7,1717353334094
27.4,63,67.7,1717353337094
27.4,63.1,67.7,1717353340096
27.4,63.1,67.7,1717353343094
27.4,62.9,67.7,1717353346095
27.4,62.9,67.7,1717353349095
27.4,62.9,67.8,1717353352094
27.4,62.9,67.8,1717353355049
27.4,62.9,67.8,1717353358155
27.4,62.9,67.8,1717353361155
27.4,62.9,67.7,1717353364156
27.4,62.9,67.7,1717353367155
27.4,62.9,67.8,1717353370154
27.4,62.9,67.7,1717353373455
27.4,62.9,67.7,1717353376454
27.4,62.9,67.8,1717353379454
27.4,62.9,67.8,1717353382454
27.4,62.9,67.8,1717353385350
27.4,62.9,67.8,1717353388455
27.4,62.9,67.7,1717353391454
27.4,62.9,67.7,1717353394514
27.4,62.9,67.7,1717353397455
27.4,62.9,67.7,1717353400516
27.4,62.9,67.6,1717353403515
27.4,62.9,67.6,1717353406515
27.4,62.9,67.8,1717353409515
27.4,62.9,67.8,1717353412517
27.4,62.9,67.6,1717353415411
27.4,62.9,67.7,1717353418816
27.4,62.9,67.7,1717353421815
27.4,62.9,67.6,1717353424814
27.4,62.9,67.6,1717353427815
27.4,62.8,67.6,1717353430815
27.4,62.8,67.6,1717353433815
27.4,62.9,67.7,1717353436817
27.4,62.9,67.7,1717353439816
27.3,62.9,67.6,1717353442815
27.3,62.9,67.6,1717353445771
27.3,62.9,67.8,1717353448875
27.3,62.9,67.8,1717353451877
27.3,62.9,67.6,1717353454875
27.3,62.9,67.6,1717353457876
27.3,62.9,67.7,1717353460875
27.3,62.9,67.6,1717353464175
27.3,62.9,67.6,1717353467174
27.3,62.8,67.7,1717353470175
27.3,62.8,67.7,1717353473177
27.3,63,67.6,1717353476072
27.3,63,67.6,1717353479177
27.3,62.9,67.7,1717353482176
27.3,62.9,67.7,1717353485177
27.3,62.9,67.8,1717353488176
27.3,62.9,67.8,1717353491237
27.3,62.9,67.8,1717353494238
27.3,62.9,67.8,1717353497238
27.3,62.9,67.6,1717353500238
27.3,62.9,67.6,1717353503238
27.3,62.9,67.7,1717353506240
27.3,62.8,67.6,1717353509537
27.3,62.8,67.6,1717353512538
27.3,62.9,67.6,1717353515537
27.3,62.9,67.6,1717353518537
27.3,62.7,67.7,1717353521598
27.3,62.7,67.7,1717353524538
27.3,62.6,67.7,1717353527537
27.3,62.6,67.7,1717353530537
27.3,62.8,67.7,1717353533538
27.3,62.8,67.7,1717353536597
27.3,62.8,67.6,1717353539597
27.3,62.8,67.6,1717353542598
27.3,62.9,67.7,1717353545595
27.3,62.9,67.7,1717353548596
27.3,62.9,67.5,1717353551492
27.3,62.8,67.6,1717353554897
27.3,62.8,67.6,1717353557897
27.3,62.6,67.6,1717353560897
27.3,62.6,67.6,1717353563896
27.3,62.8,67.6,1717353566896
27.3,62.8,67.6,1717353569928
27.3,62.7,67.6,1717353572897
27.3,62.7,67.6,1717353575897
27.3,62.7,67.6,1717353578897
